Temperature,Z_WL,Z_Exact
7.690000000000001279e-01,2.362937625437477888e+18,2.362192186615469568e+18
1.519000000000000128e+00,3.108882964241041183e+09,3.107283528260468960e+09
2.269000000000000128e+00,5.490164867390193976e+06,5.514089467214673758e+06
3.019000000000000128e+00,5.578740199106271612e+05,5.664171847286445554e+05
3.769000000000000128e+00,2.291551482423613488e+05,2.337545803551451245e+05
