Temperature,Z_WL,Z_Exact
7.690000000000001279e-01,2.415839065871107072e+18,2.362192186615469568e+18
1.519000000000000128e+00,3.168139945107062817e+09,3.107283528260468960e+09
2.269000000000000128e+00,5.528712404485233128e+06,5.514089467214673758e+06
3.019000000000000128e+00,5.570721561909082811e+05,5.664171847286445554e+05
3.769000000000000128e+00,2.279201980846046936e+05,2.337545803551451245e+05
