Temperature,Z_WL,Z_Exact
7.690000000000001279e-01,2.264327869564219904e+18,2.362192186615469568e+18
1.519000000000000128e+00,2.973950658939689159e+09,3.107283528260468960e+09
2.269000000000000128e+00,5.294431911558390595e+06,5.514089467214673758e+06
3.019000000000000128e+00,5.569360300558584277e+05,5.664171847286445554e+05
3.769000000000000128e+00,2.339773767440123193e+05,2.337545803551451245e+05
