Temperature,Z_WL,Z_Exact
7.690000000000001279e-01,2.326863862996668416e+18,2.362192186615469568e+18
1.519000000000000128e+00,3.052080535729532242e+09,3.107283528260468960e+09
2.269000000000000128e+00,5.328062730496860109e+06,5.514089467214673758e+06
3.019000000000000128e+00,5.438979308193961624e+05,5.664171847286445554e+05
3.769000000000000128e+00,2.262339721850877395e+05,2.337545803551451245e+05
